"Event"	"Reference (Event)"	"ID (Site)"	"ID (Dataset)"	"Site"	"Longitude"	"Latitude"	"Continent"	"Significance T air (July), full dataset Holocene period (WA-PLS)"	"Significance T air (July), full dataset (WA-PLS)"	"Significance T air (July) when partial out annual precip, full dataset Holocene period (WA-PLS)"	"Significance T air (July) when partial out annual precip, full dataset (WA-PLS)"	"Significance T air (July), full dataset Holocene period (MAT)"	"Significance T air (July) when partial out annual precip, full dataset Holocene period (MAT)"	"Significance T air (annual mean), full dataset Holocene period (WA-PLS)"	"Significance T air (annual mean), full dataset (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, full dataset Holocene period (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, full dataset (WA-PLS)"	"Significance T air (annual mean), full dataset Holocene period (MAT)"	"Significance T air (annual mean) when partial out annual precip, full dataset Holocene period (MAT)"	"Significance Precip annual total, full dataset Holocene period (WA-PLS)"	"Significance Precip annual total, full dataset (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, full dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, full dataset (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, full dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, full dataset (WA-PLS)"	"Significance Precip annual total, full dataset Holocene period (MAT)"	"Significance Precip annual total when partial out July mean temp, full dataset Holocene period (MAT)"	"Significance Precip annual total when partial out annual mean temp, full dataset Holocene period (MAT)"	"Significance T air (July), July temperature-tailored dataset Holocene period (WA-PLS)"	"Significance T air (July), July temperature-tailored dataset (WA-PLS)"	"Significance T air (July) when partial out annual precip, July temperature-tailored dataset Holocene period (WA-PLS)"	"Significance T air (July) when partial out annual precip, July temperature-tailored dataset (WA-PLS)"	"Significance Precip annual total, July temperature-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total, July temperature-tailored dataset (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, July temperature-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, July temperature-tailored dataset (WA-PLS)"	"Significance T air (annual mean), annual mean temperature-tailored dataset Holocene period (WA-PLS)"	"Significance T air (annual mean), annual mean temperature-tailored dataset (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, annual mean temperature-tailored dataset Holocene period (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, annual mean temperature-tailored dataset (WA-PLS)"	"Significance Precip annual total, annual mean temperature-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total, annual mean temperature-tailored dataset (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, annual mean temperature-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, annual mean temperature-tailored dataset (WA-PLS)"	"Significance T air (July), annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance T air (July), annual precipitation-tailored dataset (WA-PLS)"	"Significance T air (July) when partial out annual precip, annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance T air (July) when partial out annual precip, annual precipitation-tailored dataset (WA-PLS)"	"Significance T air (annual mean), annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance T air (annual mean), annual precipitation-tailored dataset (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, annual precipitation-tailored dataset (WA-PLS)"	"Significance Precip annual total, annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total, annual precipitation-tailored dataset (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, annual precipitation-tailored dataset (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, annual precipitation-tailored dataset (WA-PLS)"
"Adycha_River"	"Neotoma"	11	11	"Konus Exposure, Adycha River"	135.583333	67.75	"Asia"	0.143	0.125	0.338	0.304	0.031	0.099	0.3	0.32	0.454	0.47	0.392	0.816	0.399	0.381	0.512	0.496	0.55	0.554	0.344	0.661	0.758	0.141	0.146	0.55	0.483	0.346	0.333	0.821	0.82	0.214	0.217	0.244	0.231	0.661	0.68	0.659	0.682	0.238	0.259	0.52	0.525	0.075	0.071	0.219	0.231	0.528	0.51	0.883	0.869	0.679	0.671
"AKULININ"	"Neotoma"	19	19	"Akulinin Exposure P1282"	138.55	47.116667	"Asia"	NA	0.339	NA	0.446	NA	NA	NA	0.258	NA	0.299	NA	NA	NA	0.472	NA	0.621	NA	0.566	NA	NA	NA	NA	0.084	NA	0.141	NA	0.296	NA	0.596	NA	0.026	NA	0.133	NA	0.139	NA	0.79	NA	0.012	NA	0.168	NA	0.022	NA	0.393	NA	0.036	NA	0.489	NA	0.618
"ALUT"	"Neotoma"	31	31	"Alut Lake"	152.312778	60.136667	"Asia"	0.032	0.045	0.029	0.052	0.388	0.116	0.437	0.003	0.008	0.112	0.001	0.69	0.64	0.001	0.232	0.001	0.009	0.097	0.001	0.003	0.811	0.051	0.004	0.293	0.275	0.095	0.016	0.535	0.611	0.032	0.185	0.176	0.009	0.08	0.016	0.566	0.002	0.033	0.071	0.237	0.47	0.026	0.119	0.207	0.02	0.059	0.007	0.79	0.074	0.535	0.002
"AMBA"	"Neotoma"	33	33	"Amba River Exposure 596"	131.816667	43.316667	"Asia"	0.617	0.636	0.441	0.48	0.786	0.705	0.533	0.527	0.932	0.955	0.266	0.618	0.539	0.531	0.391	0.414	0.919	0.901	0.496	0.525	0.904	0.936	0.935	0.836	0.841	0.346	0.318	0.38	0.382	0.579	0.588	0.565	0.611	0.534	0.525	0.634	0.65	0.528	0.54	0.549	0.545	0.967	0.972	0.895	0.873	0.153	0.151	0.18	0.187	0.177	0.185
"AMGUEMA1"	"Neotoma"	68	68	"Amguema River Valley Exposure 1"	178.7	67.75	"Asia"	0.68	0.018	1	0.186	NA	NA	0.9	0.069	1	0.335	NA	NA	0.654	0.281	1	0.375	1	0.603	NA	NA	NA	0.68	0.249	1	0.316	0.684	0.699	1	0.705	0.704	0.035	1	0.166	0.752	0.69	1	0.675	0.692	0.018	1	0.1	0.909	0.004	1	0.114	0.751	0.324	1	0.409	1	0.59
"AMGUEMA2"	"Neotoma"	69	69	"Amguema River Valley Exposure 2"	178.6	67.666667	"Asia"	0.018	0.028	0.007	0.009	0.729	0.721	0.001	0.001	0.767	0.803	0.263	0.305	0.013	0.013	0.033	0.025	0.948	0.964	0.911	0.825	0.852	0.26	0.266	0.06	0.056	0.035	0.04	0.039	0.028	0.001	0.003	0.818	0.833	0.008	0.008	0.937	0.946	0.015	0.033	0.06	0.06	0.001	0.002	0.117	0.117	0.003	0.002	0.025	0.018	0.069	0.08
"BARABA"	"Neotoma"	228	230	"Lower Barabaschevka River Exposure 594"	131.6	43.133333	"Asia"	0.017	0.011	0.256	0.299	0.857	0.068	0.007	0.007	0.144	0.185	0.18	0.233	0.01	0.013	0.231	0.218	0.129	0.138	0.063	0.004	0.158	0.278	0.292	0.34	0.33	0.032	0.039	0.257	0.226	0.1	0.102	0.382	0.354	0.041	0.034	0.423	0.404	0.189	0.23	0.784	0.798	0.208	0.234	0.591	0.577	0.116	0.123	0.68	0.648	0.489	0.476
"BELSKALA"	"Neotoma"	251	256	"Belaya Skala Exposure"	134.566667	43.25	"Asia"	0.463	0.455	0.881	0.864	0.483	0.612	0.364	0.334	0.865	0.866	0.709	0.953	0.457	0.441	0.864	0.869	0.952	0.94	0.72	0.83	0.878	0.297	0.292	0.079	0.079	0.566	0.567	0.017	0.022	0.477	0.468	0.398	0.399	0.785	0.79	0.437	0.454	0.302	0.271	0.039	0.046	0.683	0.665	0.098	0.09	0.209	0.217	0.138	0.126	0.088	0.097
"Indigirka_Lowland"	"Neotoma"	253	259	"Berelyekh River, Indigirka Lowland"	145	70.583333	"Asia"	0.121	0.201	0.944	0.524	0.045	0.107	0.002	0.076	0.753	0.308	0.068	0.256	0.031	0.027	0.187	0.044	0.789	0.087	0.632	0.684	0.82	0.075	0.13	0.03	0.286	0.187	0.249	0.359	0.538	0.331	0.003	0.046	0.004	0.136	0.676	0.249	0.032	0.084	0.179	0.874	0.3	0.331	0.492	0.585	0.788	0.02	0.033	0.176	0.063	0.093	0.059
"BETENK"	"Neotoma"	255	261	"Betenkyos Exposure, Adycha River"	135.583333	67.666667	"Asia"	0.357	0.338	0.205	0.2	0.286	0.149	0.847	0.855	0.298	0.272	0.735	0.924	0.966	0.965	0.482	0.481	0.38	0.374	0.853	0.853	0.762	0.496	0.524	0.588	0.58	0.916	0.894	0.953	0.959	0.25	0.25	0.074	0.096	0.571	0.579	0.307	0.3	0.578	0.559	0.425	0.431	0.496	0.515	0.366	0.347	0.869	0.842	0.63	0.602	0.556	0.589
"BLUD"	"Neotoma"	278	284	"Bludlivaya River"	148.4	69.066667	"Asia"	NA	0.084	NA	0.83	NA	NA	NA	0.929	NA	0.047	NA	NA	NA	0.415	NA	0.813	NA	0.815	NA	NA	NA	NA	0.222	NA	0.11	NA	0.021	NA	0.959	NA	0.45	NA	0.926	NA	0.043	NA	0.697	NA	0.297	NA	0.851	NA	0.002	NA	0.617	NA	0.926	NA	0.975	NA	0.069
"BOLOTNYI"	"Neotoma"	293	299	"Bolotnyii Stream Exposure 117"	132.783333	42.85	"Asia"	NA	0.001	NA	0.078	NA	NA	NA	0.001	NA	0.039	NA	NA	NA	0.234	NA	0.265	NA	0.303	NA	NA	NA	NA	0.004	NA	0.034	NA	0.433	NA	0.195	NA	0.001	NA	0.001	NA	0.393	NA	0.344	NA	0.008	NA	0.028	NA	0.001	NA	0.003	NA	0.198	NA	0.423	NA	0.361
"Byllatskoye"	"Neotoma"	320	327	"Byllatskoye Exposure, Byllat River, Indigirka Basin"	140.0625	69.165278	"Asia"	0.832	0.808	0.488	0.869	0.546	0.905	0.365	0.223	0.625	0.225	0.456	0.582	0.285	0.052	0.963	0.069	0.883	0.075	0.132	0.94	0.604	0.154	0.144	0.606	0.407	0.212	0.211	0.349	0.413	0.379	0.167	0.132	0.541	0.69	0.182	0.264	0.537	0.776	0.918	0.152	0.944	0.527	0.877	0.41	0.965	0.199	0.073	0.763	0.088	0.415	0.144
"CAMPING"	"Neotoma"	328	335	"Chistoye Lake Exposure"	151.833333	59.55	"Asia"	0.05	0.054	0.311	0.346	0.077	0.251	0.299	0.301	0.126	0.123	0.03	0.197	0.36	0.368	0.611	0.596	0.162	0.14	0.01	0.04	0.409	0.017	0.026	0.253	0.264	0.028	0.038	0.417	0.405	0.463	0.438	0.887	0.871	0.414	0.394	0.935	0.94	0.127	0.146	0.039	0.042	0.22	0.239	0.476	0.483	0.254	0.251	0.088	0.087	0.739	0.76
"CHABADA2"	"Neotoma"	346	354	"Chabada Lake"	129.377875	61.976835	"Asia"	0.978	0.973	0.851	0.822	0.532	0.282	0.984	0.991	0.823	0.782	0.382	0.272	0.708	0.496	0.644	0.4	0.624	0.397	0.186	0.115	0.227	0.483	0.287	0.57	0.337	0.875	0.878	0.856	0.844	0.463	0.403	0.439	0.308	0.661	0.636	0.57	0.382	0.95	0.82	0.927	0.845	0.896	0.94	0.904	0.909	0.967	0.95	0.88	0.789	0.906	0.836
"CHERYAR"	"Neotoma"	356	364	"Chernyii Yar Exposure 955"	134.433333	43.183333	"Asia"	0.09	0.101	0.342	0.341	0.934	0.944	0.057	0.056	0.326	0.304	0.137	0.129	0.164	0.157	0.665	0.648	0.909	0.887	0.525	0.55	0.515	0.702	0.704	0.099	0.111	0.203	0.228	0.079	0.078	0.199	0.211	0.25	0.275	0.852	0.837	0.682	0.675	0.053	0.048	0.114	0.13	0.091	0.063	0.117	0.126	0.476	0.489	0.699	0.684	0.556	0.565
"CHESNOK"	"Neotoma"	357	365	"Chesnok Peat, Irtysh River"	66.5	60	"Asia"	0.51	0.505	0.46	0.471	0.204	0.064	0.557	0.561	0.452	0.461	0.578	0.543	0.044	0.036	0.082	0.069	0.059	0.073	0.083	0.036	0.074	0.552	0.583	0.459	0.487	0.071	0.095	0.139	0.161	0.643	0.628	0.674	0.717	0.083	0.085	0.105	0.099	0.501	0.489	0.14	0.154	0.713	0.689	0.337	0.308	0.124	0.123	0.137	0.156	0.146	0.159
"DERPUT"	"Neotoma"	664	682	"Derput"	124.116667	57.033333	"Asia"	0.219	0.3	0.943	0.926	0.063	0.06	0.274	0.381	0.851	0.836	0.006	0.009	0.085	0.155	0.841	0.896	0.757	0.761	0.415	0.344	0.529	0.504	0.442	0.618	0.561	0.059	0.104	0.149	0.13	0.361	0.331	0.147	0.159	0.094	0.111	0.063	0.062	0.22	0.332	0.434	0.386	0.543	0.531	0.282	0.256	0.225	0.262	0.556	0.505	0.173	0.146
"Dlinnoye_Lake"	"Neotoma"	695	715	"Dlinnoye Lake"	-178.84226	67.756725	"Asia"	0.408	0.392	0.729	0.707	0.675	0.625	0.13	0.144	0.86	0.86	0.73	0.123	0.266	0.292	0.694	0.694	0.953	0.951	0.657	0.686	0.17	0.067	0.077	0.233	0.256	0.823	0.832	0.848	0.84	0.672	0.692	0.456	0.469	0.417	0.402	0.552	0.503	0.482	0.504	0.435	0.445	0.053	0.051	0.068	0.07	0.972	0.975	0.87	0.89	0.902	0.896
"EK4"	"Neotoma"	769	788	"Elikchan 4 Lake"	151.883333	60.75	"Asia"	0.086	0.007	0.02	0.01	0.103	0.5	0.668	0.006	0.024	0.014	0.003	0.308	0.672	0.003	0.044	0.004	0.017	0.012	0.001	0.031	0.377	0.37	0.001	0.86	0.011	0.225	0.041	0.454	0.19	0.054	0.081	0.036	0.014	0.255	0.013	0.109	0.024	0.057	0.019	0.138	0.12	0.054	0.104	0.027	0.019	0.276	0.022	0.382	0.239	0.07	0.025
"ICDP5011-1"	"Neotoma"	772	791	"Elgygytgyn Stream Section"	172.083333	67.416667	"Asia"	0.658	0.683	0.893	0.888	0.952	0.612	0.836	0.86	0.273	0.283	0.492	0.68	0.52	0.542	0.847	0.84	0.173	0.218	0.231	0.07	0.323	0.51	0.499	0.314	0.338	0.171	0.165	0.309	0.292	0.027	0.033	0.249	0.275	0.353	0.386	0.789	0.763	0.662	0.71	0.793	0.773	0.201	0.222	0.557	0.584	0.79	0.79	0.757	0.774	0.935	0.918
"ELGENNYA"	"Neotoma"	773	792	"Elgennya Lake"	149	62.083333	"Asia"	0.014	0.063	0.052	0.108	0.179	0.044	0.125	0.003	0.153	0.09	0.092	0.236	0.158	0.001	0.394	0.003	0.217	0.055	0.019	0.008	0.034	0.008	0.008	0.053	0.122	0.01	0.03	0.615	0.405	0.003	0.083	0.001	0.043	0.088	0.015	0.016	0.039	0.012	0.064	0.013	0.571	0.007	0.215	0.002	0.157	0.099	0.052	0.141	0.58	0.015	0.098
"ENM109"	"Neotoma"	779	799	"Enmyvaam River, 2.5-3 m terrace"	172.166667	67.433333	"Asia"	0.146	0.156	0.317	0.31	0.595	0.829	0.02	0.014	0.049	0.044	0.895	0.665	0.424	0.458	0.58	0.599	0.408	0.399	0.035	0.094	0.032	0.557	0.526	0.563	0.533	0.969	0.965	0.778	0.799	0.604	0.628	0.791	0.77	0.141	0.155	0.281	0.234	0.211	0.214	0.368	0.319	0.003	0.007	0.005	0.004	0.577	0.617	0.899	0.883	0.772	0.762
